Key,Source,Context,Changes,English,Spanish
ATBerryTeaDesc,items,Food,New,A warm healing tea made from blueberries and snowberries,Un té de sanación cálido hecho con arándanos y sinforicarpos

ATMixedTeaDesc,items,Food,New,A cool refreshing mixed herbal tea that helps protect against the cold,Un té de hierbas mixto y refrescante que ayuda a protegerte contra el frío

ATIcedCoffeeDesc,items,Food,New,A cool energising iced coffee that helps protect against the cold whilst remaining just as hydrating as the hot counterpart,Un café helado energizante que ayuda a protegerte contra el frío sin dejar de ser tan hidratante como la contraparte caliente

ATYuccaChipsDesc,items,Food,New,A handful of hearty wedge cut yucca chips,Un puñado de chips de yuca cortados en cuña

ATHashbrownDesc,items,Food,New,A small triangle of shredded fried potato. A nice snack,Un triángulo de patata cortado pequeño. Un buen snack

ATMashPotatoDesc,items,Food,New,This hefty pot of silky smooth mash potato could be a meal on it's own,Esta gran olla de puré de patatas suave podría ser una comida por sí sola

ATCornGritsDesc,items,Food,New,A warm pot of boiled corn grits with animal fat,Una olla caliente de sémola de maíz hervida con grasa animal

ATBlueberryJamDesc,items,Food,New,Sweet blueberry jam made from rendered fruits. Maybe too sweet on it's own,Mermelada de arándanos dulce elaborada a partir de frutos extraídos. Quizás demasiado dulce por sí solo

ATYuccaJamDesc,items,Food,New,Surprisingly savory whilst still being sweet. Yucca jam is made from rendered down yucca fruit,Sorprendentemente sabroso y al mismo tiempo dulce. La mermelada de yuca está hecha de fruta de yuca fundida

ATEggSaladDesc,items,Food,New,A basic egg salad made from boiled eggs. Boiled potato and oil dressing,Ensalada de huevo básica hecha con huevos cocidos. Aderezo de patata hervida y aceite.

ATFriedMeatDesc,items,Food,New,Meat that has been fried in a cornmeal coating,Carne frita cubierta de harina de maíz

ATCornChipsDesc,items,Food,New,Crispy fried corn chips that make for a nice snack between bashing skulls in,Maíz frito crujiente que se hace un buen snack para reventar cráneos

ATBBJamSandwichDesc,items,Food,New,A simple cornbread sandwich with a sweet blueberry jam filling to help recover from a long day,Un simple sándwich de pan de maíz con rellena con mermelada de arándanos dulces para ayudar a recuperarse de un largo día

ATYuccaJamSandwichDesc,items,Food,New,A simple cornbread sandwich with a savory yucca jam filling that helps get rid of even the strongest hunger pangs,Simple bocata de maíz relleno con sabrosa mermelada de yuca que ayuda a eliminar esos dolores de tripa molestos del hambre

ATCoffeeCakeDesc,items,Food,New,This cake offers the energising properties of coffee whilst still being delicious,Esta tarta ofrece propiedades energizantes del café mientras sigue siendo delicioso

ATMushroomPieDesc,items,Food,New,Savory and buttery pie crust filled to the brim with mushrooms,Pastel de mantequilla sabrosa rellena hasta el borde de champiñones. 

ATMeatAndBeerPieDesc,items,Food,New,Rich and savory pie crust with a meat and beer filling. Truly a feast fit for the best of the best,Rico y sabroso pastel de mantequilla con carne y relleno de cerveza

ATFriedMushroomsDesc,items,Food,New,Whole mushrooms coated in cornmeal and fried. A very filling snack,Champiñones fritos bañados en harina de maíz. Un snack muy abundante 

ATFriedEggDesc,items,Food,New,A simple sunny side up fried egg. The main component of any good breakfast,Un sonriente huevo frito. El buen desayuno para personas no españolas (Donde esté el colacao que me quiten lo bailao)

ATFrenchToastDesc,items,Food,New,Egg soaked cornbread that has been fried. Simple yet tasty, Bocata de maíz cocinado con huevo frito. Simple y sabroso

ATHoneyGlazedMeatDesc,items,Food,New,Roasted meat with a deep honey glaze covering it,Carne asada con un glaseado de miel cubriéndolo

ATBlueberrySodaDesc,items,Food,New,A refreshing carbonated soda made from blueberries,Una bebida energética hecha con arándanos

ATCarbonatedWaterDesc,items,Food,New,Carbonated water that is both refreshing and useful for digestion,Agua carbonatada que es refrescante y muy útil para la digestión

ATKvassSodaDesc,items,Food,New,Kvass soda made from fermented cornbread to make it carbonated. A very basic soda, Bebida Kvas hecho con pan de maíz fermentado para hacerlo cabornatado. Una bebida básica

ATVodkaDesc,items,Food,New,Fermented and distilled potato water that will improve your bartering. This stuff packs a punch,

ATSnowberryGinDesc,items,Food,New,A dry gin made from snowberries that will boost your ability to break blocks,Ginebra seca hecha con sinforcarpios que aumentaran tus habilidades para romper bloques

ATBlueberrySpongeDesc,items,Food,New,Fluffy sponge cake with a very sweet blueberry jam filling. Filling for both the body and soul.,Bizcocho esponjoso relleno de mermelada de arándanos muy dulces. Saciando el cuerpo y alma.

ATYuccaSpongeDesc,items,Food,New,Sweet and fluffy sponge cake with a somewhat savory yucca jam filling. Extremely filling,Bizcocho dulce y esponjoso con un relleno de yuca sabroso. Extremadamente saciante

ATCustardPieDesc,items,Food,New,Buttery pie crust filled to the brim with a dense custard.,Pastel relleno de mantequilla hasta el borde con crema densa.

ATEnergyTabletDesc,items,Food,New,Energy tablets are great for getting you out of sticky situations. However you can get addicted to them.,Las barritas energéticas son buenas para sacarte de situaciones difíciles. Sin embargo crean adicción.

